text,label,notes,source_url
"How to insert a small image on the corner of a plot with matplotlib? What I want is really simple: I have a small image file called ""logo.png"" that I want to display on the upper left corner of my plots. But you can't find any example of that in the matplotlib examples gallery. I'm using django, and my code is something like this: ` `def get_bars(request) ... fig = Figure(facecolor='#F0F0F0',figsize=(4.6,4)) ... ax1 = fig.add_subplot(111,ylabel=""Valeur"",xlabel=""Code"",autoscale_on=True) ax1.bar(ind,values,width=width, color='#FFCC00',edgecolor='#B33600',linewidth=1) ... canvas = FigureCanvas(fig) response = HttpResponse(content_type='image/png') canvas.print_png(response) return response ` `",diagnostic_request,Weak label: Stack Overflow Python question with title/body; manually verify diagnostic detail.,https://stackoverflow.com/questions/3609585/how-to-insert-a-small-image-on-the-corner-of-a-plot-with-matplotlib
"Where to apply batch normalization on standard CNNs I have the following architecture: ` `Conv1 Relu1 Pooling1 Conv2 Relu2 Pooling3 FullyConnect1 FullyConnect2 ` ` My question is, where do I apply batch normalization? And what would be the best function to do this in TensorFlow?",diagnostic_request,Weak label: Stack Overflow Python question with title/body; manually verify diagnostic detail.,https://stackoverflow.com/questions/47143521/where-to-apply-batch-normalization-on-standard-cnns
Making paragraphs for the outline in VS Code using comments Is it possible to use comments to organise the code in paragraphs that could be available in the outline? This would be helpful for organizing classes with a lot of methods. I would be in particular interested in doing that inside Python classes. Example: ` `class Class(): # Special comment to be in the outline: First methods def a(self): pass def b(self): pass def c(self): pass # Special comment to be in the outline: Other methods def d(self): pass def e(self): pass ` ` Outline should group the methods according to the special comment.,diagnostic_request,Weak label: Stack Overflow Python question with title/body; manually verify diagnostic detail.,https://stackoverflow.com/questions/70201407/making-paragraphs-for-the-outline-in-vs-code-using-comments
"Simple Elevator Program Python Using While For Loop. Why does my loop not update every item on list? My below loop in python which goes through a list of customers seems to once it removes a customer from the list go back to the start of the while loop instead of repeating through for the rest of the customers. Can somebody please have a look at what I am doing wrong? Entire code is below and attached. ` `author = 'Alan Doonan' import random import time class Building: # defines class building number_of_floors = 0 # sets number_of_floors variable to 0 customer_list = [] # creates an empty array for customer_list elevator = 0 # sets elevator variable to 0 def __init__(self, floors, customers): # initialize Building self.number_of_floors = floors # assigns floors entered to number_of_floors for customerID in range(1, customers + 1): # assigns number of customers entered to customer_list in order new = Customer(customerID,self.number_of_floors) # creates an instance called new of Customer class for number of customers entered in input self.customer_list.append(new) # appends new instance of customer to customer_list self.customer_list.sort(key = lambda x: x.current_floor) # sorts c...",diagnostic_request,Weak label: Stack Overflow Python question with title/body; manually verify diagnostic detail.,https://stackoverflow.com/questions/36778919/simple-elevator-program-python-using-while-for-loop-why-does-my-loop-not-update
"Could this logging setup code be rationalised Any thoughts on how I could simplify this code a bit, for example is there any way of putting the format string in a root handler so that it is then inherited in the file logs. Just feels like a lot of code for a relatively small amount of functionality. ` `import logging from logging.handlers import RotatingFileHandler logging.basicConfig(format=""%(asctime)s %(levelname)s %(message)s"", encoding=""utf-8"", handlers=[logging.StreamHandler()]) logger1 = logging.getLogger(__name__ + ""_info_"") logger1.setLevel(logging.INFO) handler1 = RotatingFileHandler(filename=__name__ + ""_info.log"", maxBytes=5 * 1024 * 1024, backupCount=5) handler1.namer = lambda name: name.replace("".log."", """") + "".log"" handler1.setFormatter(logging.Formatter(""%(asctime)s %(levelname)s %(message)s"")) logger1.addHandler(handler1) logger2 = logging.getLogger(__name__ + ""_error"") logger2.setLevel(logging.ERROR) handler2 = RotatingFileHandler(filename=__name__ + ""_error.log"", maxBytes=5 * 1024 * 1024, backupCount=5) handler2.namer = lambda name: name.replace("".log."", """") + "".log"" handler2.setFormatter(logging.Formatter(""%(asctime)s %(levelname)s %(message)s"")) logger2.addH...",diagnostic_request,Weak label: Stack Overflow Python question with title/body; manually verify diagnostic detail.,https://stackoverflow.com/questions/79957305/could-this-logging-setup-code-be-rationalised
"How to count the frequency of items in a Python list and store them in a dictionary? I have a Python list containing multiple food orders, where some items appear multiple times. I want to count how many times each item appears and store the results in a dictionary (where the food name is the key and the count is the value). Here is my current approach using a `for` loop: ` `orders = [""Burger"", ""Pizza"", ""Burger"", ""Ramen"", ""Pizza"", ""Burger""] count_dict = {} for item in orders: # This throws a KeyError because the key doesn't exist yet count_dict[item] += 1 print(count_dict) ` ` When I run this, I get a `KeyError` . I understand it is because the key does not exist in the dictionary when I try to add `1` to it for the first time. What is the best or most Pythonic way to handle this? Should I check if the key exists using an `if` statement, or is there a built-in tool in Python that can do this more efficiently?",diagnostic_request,Weak label: Stack Overflow Python question with title/body; manually verify diagnostic detail.,https://stackoverflow.com/questions/79962431/how-to-count-the-frequency-of-items-in-a-python-list-and-store-them-in-a-diction
"How can I check if character in a string is a letter? (Python) I know about `islower` and `isupper` , but can you check whether or not that character is a letter? For Example: ` `>>> s = 'abcdefg' >>> s2 = '123abcd' >>> s3 = 'abcDEFG' >>> s[0].islower() True >>> s2[0].islower() False >>> s3[0].islower() True ` ` Is there any way to just ask if it is a character besides doing `.islower()` or `.isupper()` ?",diagnostic_request,Weak label: Stack Overflow Python question with title/body; manually verify diagnostic detail.,https://stackoverflow.com/questions/15558392/how-can-i-check-if-character-in-a-string-is-a-letter-python
"Selenium undetected chromedriver with different chrome-versions? I have the following code which works fine on a computer where chrome 122 is installed currently - ` `import undetected_chromedriver as uc driver = uc.Chrome() driver.get('https://ballzy.eu/en/men/sport/shoes') ` ` But when I run this code on a computer where a different chrome-version is installed like 120, I get the following error - ` `(selenium) C:\DEV\Fiverr\ORDER\stefamn_jan669_jankore_janxx2\Ballzy>python test3.py Traceback (most recent call last): File ""C:\DEV\Fiverr\ORDER\stefamn_jan669_jankore_janxx2\Ballzy\test3.py"", line 2, in <module> driver = uc.Chrome(version_main=122) File ""C:\DEV\.venv\selenium\lib\site-packages\undetected_chromedriver\__init__.py"", line 466, in __init__ super(Chrome, self).__init__( File ""C:\DEV\.venv\selenium\lib\site-packages\selenium\webdriver\chrome\webdriver.py"", line 45, in __init__ super().__init__( File ""C:\DEV\.venv\selenium\lib\site-packages\selenium\webdriver\chromium\webdriver.py"", line 61, in __init__ super().__init__(command_executor=executor, options=options) File ""C:\DEV\.venv\selenium\lib\site-packages\selenium\webdriver\remote\webdriver.py"", line 208, in __init__...",diagnostic_request,Weak label: Stack Overflow Python question with title/body; manually verify diagnostic detail.,https://stackoverflow.com/questions/78050439/selenium-undetected-chromedriver-with-different-chrome-versions
"Problems with adding type hints Question now edited so that it asks about one error only as has been blocked by admin for including too many errors. Note the reason for including all errors is because they may be related: Having a few issues resolving remaining type-hint problems in PyCharm. Code: ` `from wsgiref.types import StartResponse import importlib.util import importlib.machinery interactive_mode = True if interactive_mode: from collections.abc import Callable import logging from wsgiref import simple_server class WsgiController: def __init__(self, environ: dict[str, str], start_response: StartResponse) -> None: self.oPage = Process(environ, start_response) httpd = simple_server.make_server("""", 8000, WsgiController) class Request: def __init__(self, environ: dict[str, str]) -> None: self.environ = environ def get(self, key: str) -> str | None: return self.environ.get(key) def parse_cookies(self) -> None: _ = self.get(""HTTP_COOKIE"") def set_cookie(self, attributes: None | dict[str, str] = None) -> None: _ = self if attributes is None: attributes = {} for _, _ in attributes.items(): pass class Response: start_response: Callable[[str, list[tuple[str, str]]], None] def __ini...",diagnostic_request,Weak label: Stack Overflow Python question with title/body; manually verify diagnostic detail.,https://stackoverflow.com/questions/79963499/problems-with-adding-type-hints
"Python Libraries Issue I remember back in the days of only being able to pull in libs in a certain order, otherwise the code would not link. This was due to brainless Linkers. Today, libs for Python (under Win11) reminds me of those days. It is now mostly due to brainless Installers. Why can't an Installer look at your Path and paste the lib accordingly? Too much work I imagine. Then there is also the versioning problem. Update one thing and you might be broken. Also a ridiculous problem. I've been trying to get NumPy to work. After updating python, pip, and NumPy it still did not work. I ended up moving NumPy from one folder to another and voila! A silly waste of time it seems to me...do Installers need to get smarter?",diagnostic_request,Weak label: Stack Overflow Python question with title/body; manually verify diagnostic detail.,https://stackoverflow.com/questions/79962310/python-libraries-issue
